FORMAT STUD1_CASH_RECEIPT STD ,
System, LedgerCode, DocRef, LineRef, RcptType, AllocRef, RevDocRef, RevLineRef, RcptDt, Amt, DrCrInd, UsrFld1, UsrFld2, UsrFld3, UsrFld4, UsrFld5
$S1CSR,24715272,BPANZ1165412072,1,$PAY,10434624,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24715272,BPANZ1170322191,1,$PAY,10512737,,,17/02/2023,-1545.00,CR,ST,,,,
$S1CSR,24751846,BPANZ6390800234,1,$PAY,10469212,,,17/02/2023,-4148.00,CR,ST,,,,
$S1CSR,24758385,BPC030578046566,1,$PAY,10469400,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24767891,BPANZ6348909683,1,$PAY,10518252,,,17/02/2023,-6713.00,CR,ST,,,,
$S1CSR,24767891,BPANZ6352189727,1,$PAY,10518252,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24781623,BPCBA0747915154,1,$PAY,10470534,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24781748,BPING0000312153,1,$PAY,10427628,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24788022,BPSTG0061927952,1,$PAY,10536113,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24847966,BPCBA0147522725,1,$PAY,10453762,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24854251,BPCBA0547837283,1,$PAY,10390684,,,17/02/2023,-150.00,CR,ST,,,,
$S1CSR,24864629,BPCBA0747917484,1,$PAY,10621326,,,17/02/2023,-81.50,CR,ST,,,,
$S1CSR,24865848,BPNEW0000625574,1,$PAY,10471814,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24916951,BPING0000100193,1,$PAY,10446584,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24941585,BPCBA0247786415,1,$PAY,10637872,,,17/02/2023,-10835.00,CR,ST,,,,
$S1CSR,24960940,BPCBA0747912847,1,$PAY,10477912,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24963377,BPCBA0147580801,1,$PAY,10491974,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24970701,BPWBC15966214,1,$PAY,10545608,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24979318,BPNAB3190673663,1,$PAY,10635328,,,17/02/2023,-2155.50,CR,ST,,,,
$S1CSR,24987846,BPWBC88856414,1,$PAY,10479190,,,17/02/2023,-5167.00,CR,ST,,,,
$S1CSR,99137503,BPCBA0147689714,1,$PAY,10174235,,,17/02/2023,-39.25,CR,ST,,,,
$S1CSR,99178980,BPBCA3319006431,1,$PAY,10395951,,,17/02/2023,-167.00,CR,ST,,,,
